EVENT_ID_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,DISORDER_TYPE,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,ASSOC_ACTOR_1,INTER1,ACTOR2,ASSOC_ACTOR_2,INTER2,INTERACTION,CIVILIAN_TARGETING,ISO,REGION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,SOURCE_SCALE,NOTES,FATALITIES,TAGS,TAGS_INFRASTRUCTURE
UKR214054,2025-03-21,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Kharkiv,Bohodukhivskyi,Bohodukhivska,Ivano-Shyichyne,50.27,35.62,1,Ministry of Defence of Ukraine,Other,"On 21 March 2025, Russian forces hit Ivano-Shyichyne, Kharkiv, suspectedly with a FPV-drone, damaging a residential building. Casualties unknown.",0,,Residential
UKR214059,2025-03-21,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Khmelnytskyi,Khmelnytskyi,Khmelnytska,Khmelnytskyi,49.413,26.998,3,Suspilne Media,National,"On 21 March 2025, Russian drones struck the Khmelnytskyi region (coded to Khmelnytskyi, Khmelnytskyi), damaging residential buildings. The Ukrainian military intercepted 6 drones. Casualties unknown.",0,,Residential
UKR214063,2025-03-21,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Sumy,Sumskyi,Krasnopilska,Krasnopillia,50.775,35.26,1,Ministry of Defence of Ukraine,Other,"On 21 March 2025, Russian air forces struck Krasnopillia, Sumy, damaging residential buildings, outbuildings, a cultural facility and a village council. 2 civilians were killed, 1 wounded.",2,local administrators,Residential
UKR214075,2025-03-21,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Dnipropetrovsk,Nikopolskyi,Nikopolska,Nikopol,47.571,34.396,2,Suspilne Media,National,"On 21 March 2025, Russian drones and artillery struck Nikopol district (coded to Nikopol, Dnipropetrovsk), damaging residential buildings and civilian infrastructure. A civilian was wounded.",0,,Residential
UKR214082,2025-03-21,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Sumy,Okhtyrskyi,Okhtyrska,Okhtyrka,50.31,34.899,1,Ministry of Defence of Ukraine,Other,"On 21 March 2025, Russian forces hit Okhtyrka, Sumy, suspectedly with Shahed-drones, damaging a gas-station and an educational facility. Casualties unknown.",0,,Education
UKR214089,2025-03-21,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Sumy,Sumskyi,Krasnopilska,Porozok,50.562,35.373,1,Ministry of Defence of Ukraine,Other,"On 21 March 2025, Russian forces hit Porozok, Sumy, suspectedly with a bomber-drone and mortars, damaging a residential building. Casualties unknown.",0,,Residential
UKR214101,2025-03-21,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Sumy,Sumskyi,Nyzhnosyrovatska,Stare Selo,50.826,34.808,1,Ministry of Defence of Ukraine,Other,"On 21 March 2025, Russian forces hit Stare Selo, Sumy, suspectedly with Shahed-drones, damaging residential buildings. Casualties unknown.",0,,Residential
UKR214113,2025-03-21,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Zaporizhia,Zaporizkyi,Zaporizka,Zaporizhia,47.848,35.16,1,24 Channel; Suspilne Media,National,"On 21 March 2025, around 20 Russian drones struck Zaporizhia, Zaporizhia, damaging residential buildings and civilian infrastructure. 3 civilians were killed, 16 were wounded, including a 9-month old baby.",3,,Residential
UKR214136,2025-03-21,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Ukraine (2019-) Air Force,,State forces,Military Forces of Russia (2000-) 1st Donetsk Army Corps,Civilians (Ukraine),External/Other forces,State forces-External/Other forces,,804,12,Ukraine,Donetsk,Horlivskyi,Horlivska,Horlivka,48.313,38.042,1,DPR Armed Forces Press Service,Other,"On 21 March 2025, Ukrainian drones struck DPR's forces in Horlivka, Donetsk, residential buildings. A civilian was wounded.",0,,Residential
UKR214898,2025-03-21,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Donetsk,Kramatorskyi,Lymanska,Lyman,48.99,37.806,1,Suspilne Media,National,"On 21 March 2025, Russian military forces hit (likely by artillery as the most common event) Lyman, Donetsk, damaging residential buildings. 2 civilians were wounded.",0,,Residential
UKR214002,2025-03-20,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Donetsk,Kramatorskyi,Kramatorska,Kramatorsk,48.731,37.582,1,Suspilne Media; Ukrinform; ZMINA,Other-National,"On 20 March 2025, Russian forces conducted drone and ballistic missile strikes on Kramatorsk, Donetsk. For the second strike, Russian forces targeted the first location in the aftermath of the first strike. An industrial area was targeted. Educational buildings and apartment buildings were damaged. Four civilians were wounded.",0,,Residential
UKR214003,2025-03-20,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Sumy,Sumskyi,Krasnopilska,Krasnopillia,50.775,35.26,2,Ministry of Defence of Ukraine,Other,"On 20 March 2025, Russian forces conducted KAB strikes near Krasnopillia, Sumy. A private house was destroyed. An apartment building, hospital warehouses, and a shopping center were damaged. 1 civilian was wounded. 3 civilians were killed.",3,,Health; Residential
UKR214004,2025-03-20,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Kirovohrad,Kropyvnytskyi,Kropyvnytska,Kropyvnytskyi,48.515,32.254,1,Ukrinform,National,"On 20 March 2025, Russian forces launched 21 drones on Kropyvnytskyi, Kirovohrad. 70 private homes and 17 apartment buildings were damaged. 14 civilians were wounded.",0,,Residential
UKR214011,2025-03-20,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Dnipropetrovsk,Synelnykivskyi,Mezhivska,Mezhova,48.253,36.735,2,Suspilne Media,National,"On 20 March 2025, Russian forces conducted strikes KAB and drone strikes near Mezhova, Dnipropetrovsk. An agricultural enterprise, private homes, and an outbuilding were damaged. A civilian was wounded.",0,,Residential
UKR214015,2025-03-20,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Dnipropetrovsk,Nikopolskyi,Nikopolska,Nikopol,47.571,34.396,2,Suspilne Media,National,"On 20 March 2025, Russian forces conducted strikes with artillery and drones near Nikopol, Dnipropetrovsk. A private house and garage were damaged. A civilian was wounded. Another civilian was killed.",1,,Residential
UKR214019,2025-03-20,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Odesa,Odeskyi,Odeska,Odesa,46.464,30.739,1,Unian,National,"On 20 March 2025, Russian forces conducted air and drone strikes on Odesa, Odesa. Civil infrastructure was damaged, including a residential high-rise building, a shopping center, shops, and private homes. Power outages occurred in the city. Three civilians were injured.",0,,Energy; Residential
UKR214023,2025-03-20,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Chernihiv,Novhorod-Siverskyi,Semenivska,Semenivka,52.178,32.582,2,Ministry of Defence of Ukraine,Other,"On 20 March 2025, Russian forces conducted FPV drone strikes near Semenivka, Chernihiv. A private house was damaged. Casualties unknown.",0,,Residential
